Average Score; Win Rate
 (7.80); (0.49)
Scores; Record
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 -503; Loss
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 -503; Loss
 531; Win
 531; Win
 531; Win
 -503; Loss
 531; Win
 531; Win
 531; Win
 531; Win